estudiante_id,genero,nse,region,capacidad_score,capacidad_nivel,rama_real,opcion_real,opcion_numero,motivacion_principal,presion_familiar,consistencia,fase1_p01,fase1_p02,fase1_p03,fase1_p04,fase1_p05,fase1_p06,fase1_p07,fase1_p08,fase1_p09,fase1_p10,fase1_p11,fase1_p12,fase1_p13,fase1_p14,fase1_p15,fase1_p16,fase1_p17,fase1_p18,fase1_p19,fase1_p20,fase1_p21,fase1_p22,fase1_p23,fase1_p24,fase1_p25,fase1_p26,fase1_p27,fase1_p28,fase1_p29,fase1_p30,fase1_p31,fase1_p32,fase1_p33,fase1_p34,fase1_p35,fase1_p36,fase1_p37,fase1_p38,fase1_p39,fase1_p40,fase1_p41,fase1_p42,fase1_p43,fase1_p44,fase1_p45,fase1_p46,fase1_p47,fase1_p48,fase1_p49,fase1_p50,fase1_p51,fase1_p52,fase1_p53,fase1_p54,fase1_p55,fase1_p56,fase1_p57,fase1_p58,fase1_p59,fase1_p60,fase1_p61,fase1_p62,fase1_p63,fase1_p64,fase1_p65,fase1_p66,fase1_p67,fase1_p68,fase1_p69,fase1_p70,fase1_p71,fase1_p72,fase1_p73,fase1_p74,fase1_p75,fase1_p76,fase1_p77,fase1_p78,fase1_p79,fase1_p80,fase2_p01,fase2_p02,fase2_p03,fase2_p04,fase2_p05,fase2_p06,fase2_p07,fase2_p08,fase2_p09,fase2_p10,fase2_p11,fase2_p12,fase2_p13,fase2_p14,fase2_p15,fase2_p16,fase2_p17,fase2_p18,fase2_p19,fase2_p20,fase2_p21,fase2_p22,fase2_p23,fase2_p24,fase2_p25,fase2_p26,fase2_p27,fase2_p28,fase2_p29,fase2_p30,fase2_p31,fase2_p32,fase2_p33,fase2_p34,fase2_p35,fase2_p36,fase2_p37,fase2_p38,fase2_p39,fase2_p40,fase2_p41,fase2_p42,fase2_p43,fase2_p44,fase2_p45,fase2_p46,fase2_p47,fase2_p48,fase2_p49,fase2_p50,fase2_p51,fase2_p52,fase2_p53,fase2_p54,fase2_p55,fase2_p56,fase2_p57,fase2_p58,fase2_p59,fase2_p60,fase2_p61,fase2_p62,fase2_p63,fase2_p64,fase2_p65,fase2_p66,fase2_p67,fase2_p68,fase2_p69,fase2_p70,fase2_p71,fase2_p72,fase2_p73,fase2_p74,fase2_p75,fase2_p76,fase2_p77,fase2_p78,fase2_p79,fase2_p80
1,F,alto,centro,1.436,media_alta,Ingenieria,ARQ,10,realizacion_personal,0.647,0.937,B,D,B,B,C,B,B,B,C,B,B,E,C,A,C,B,B,B,B,B,A,B,E,C,D,A,B,C,C,B,D,E,B,E,B,B,B,C,B,A,B,B,B,A,C,B,C,B,B,D,C,B,C,B,D,B,D,C,E,B,B,C,C,C,B,C,C,B,B,B,B,C,D,B,D,A,B,A,E,C,E,C,D,E,E,C,E,E,E,E,E,C,E,B,C,B,E,C,E,D,E,B,D,B,E,B,B,B,E,E,E,A,E,E,B,E,E,E,D,C,E,C,B,E,D,D,E,D,A,E,D,D,E,A,E,E,B,E,C,E,E,E,E,E,E,D,E,E,E,E,B,D,D,D,D,B,C,C,C,E
2,F,medio_alto,norte,0.572,media_baja,Salud,ENF,5,crecimiento_profesional,0.226,0.733,B,B,D,C,B,B,B,A,A,B,B,B,C,B,B,A,B,D,D,D,A,B,A,C,D,C,A,C,B,A,C,B,B,A,B,C,E,C,C,A,A,C,A,B,C,C,C,C,A,A,C,A,B,B,A,B,A,C,D,A,B,D,C,B,C,A,C,B,A,B,D,C,A,B,E,A,A,B,C,C,D,E,C,E,E,E,E,E,C,E,E,D,E,E,B,C,B,E,E,E,D,B,E,D,E,C,E,E,E,D,E,E,C,E,B,B,C,B,E,E,B,E,E,E,C,A,C,E,B,C,B,D,D,E,C,B,E,C,E,E,B,C,E,D,A,E,B,E,A,E,A,D,E,E,B,E,C,D,B,B
3,M,medio,centro,0.962,media,Ingenieria,MEC,8,balance_vida_trabajo,0.645,0.908,A,D,B,B,C,B,B,D,A,D,B,E,C,D,B,C,B,D,A,D,A,B,B,C,B,B,B,C,B,D,A,B,B,D,B,B,B,C,E,A,D,C,B,D,C,D,C,B,B,B,C,B,C,D,B,B,B,C,E,A,B,D,C,B,B,B,C,C,B,B,B,C,B,B,B,A,B,A,D,C,C,C,C,C,E,C,C,A,C,D,B,C,C,C,A,C,C,C,B,C,C,C,C,C,C,E,C,D,E,C,D,C,C,C,C,D,C,D,A,C,B,C,B,C,C,C,C,C,B,D,B,C,B,C,C,C,B,C,D,D,B,C,C,A,B,C,B,C,C,C,C,C,C,C,E,C,C,C,C,D
4,M,bajo,norte,0.453,baja,Oficios_Basicos,LIMPIEZA,23,ayudar_familia,0.395,0.839,E,D,D,D,C,E,D,B,D,D,D,E,A,A,E,D,D,D,B,D,E,B,A,B,A,E,B,D,D,A,C,E,C,D,B,C,A,D,B,C,A,D,D,D,D,E,C,D,C,D,D,D,D,E,D,C,D,B,E,D,D,E,E,E,C,D,D,D,E,B,C,B,E,C,D,E,E,D,A,D,C,B,C,C,C,C,C,C,C,C,C,A,C,C,C,C,C,E,C,C,D,C,D,B,C,C,C,A,C,C,C,D,C,C,C,C,C,C,C,E,C,C,C,C,C,C,E,C,B,E,C,D,B,A,C,C,C,C,D,C,C,C,C,D,C,C,C,C,C,C,D,A,C,C,C,B,C,D,D,C
5,M,alto,norte,1.684,alta,Salud,ODO,4,impacto_social,0.621,0.791,D,E,E,B,B,B,A,A,B,D,A,C,C,B,B,A,B,B,B,E,D,B,A,C,B,C,A,C,B,A,A,B,B,B,A,B,B,C,B,A,A,B,C,B,C,A,C,A,A,C,C,B,B,B,D,B,B,C,D,B,B,B,C,E,C,B,C,B,B,B,A,C,E,B,D,A,E,B,C,C,D,D,D,D,D,D,D,D,C,D,D,D,D,D,D,C,D,D,D,D,E,D,D,C,D,B,D,B,D,D,B,D,D,D,D,D,D,E,D,D,D,A,D,E,D,D,D,B,D,D,D,B,D,D,D,D,D,D,D,D,D,B,D,D,D,A,D,E,D,B,D,D,D,D,D,B,B,D,D,A
6,M,bajo,sur,0.508,media_baja,Oficios_Basicos,ALBANIL,21,ayudar_familia,0.382,0.701,E,D,E,A,C,B,B,D,D,D,B,E,C,D,C,D,B,E,C,E,D,B,E,C,D,C,D,C,B,B,B,E,B,D,B,C,C,C,D,A,A,B,D,B,C,D,C,C,A,B,C,D,D,D,A,B,D,C,D,A,B,E,C,B,B,E,C,B,D,B,D,C,B,B,C,A,E,B,A,C,C,A,A,A,D,E,A,C,A,A,A,D,A,C,B,A,A,A,B,C,A,A,A,C,C,E,A,A,A,A,E,D,D,A,A,E,D,E,A,B,A,A,C,A,C,E,A,A,A,C,C,A,B,A,A,A,A,A,A,E,C,A,D,D,A,A,A,A,A,A,C,A,A,A,D,A,B,D,D,A
7,M,medio_alto,centro,1.566,media_alta,Salud,ENF,5,estabilidad_economica,0.653,0.837,B,A,B,B,B,B,B,D,C,C,A,B,C,E,B,D,B,C,C,A,A,B,D,C,A,A,B,C,B,A,B,E,B,B,D,B,E,C,D,A,A,B,B,B,C,A,C,E,B,C,C,A,A,B,A,B,B,C,D,A,B,B,C,E,C,A,C,B,B,B,E,C,A,B,A,A,D,B,A,C,E,E,E,C,E,A,E,E,E,A,E,E,D,E,C,E,C,E,E,E,E,E,E,A,C,E,C,A,D,E,E,D,E,E,E,B,E,D,E,E,B,A,C,A,D,A,E,B,E,C,C,A,E,A,E,E,E,B,B,E,C,A,E,E,E,C,E,B,C,A,C,A,A,C,E,E,D,A,A,E
8,F,medio,norte,0.753,media_baja,Oficios_Tecnicos,CHEF,19,crecimiento_profesional,0.302,0.831,E,D,C,A,E,B,A,D,C,B,B,B,D,D,C,D,B,E,C,C,A,B,C,C,C,B,D,C,B,A,D,E,B,D,D,B,D,C,E,A,D,C,B,A,C,D,C,D,B,E,C,D,C,B,D,B,E,C,B,A,B,D,C,C,C,B,C,C,E,B,A,C,B,B,D,A,D,C,E,C,D,D,D,E,D,D,E,D,D,D,A,D,D,D,C,D,D,B,D,D,D,C,B,D,D,D,B,D,D,D,C,D,D,D,D,D,C,B,D,D,D,E,D,D,D,D,D,B,D,D,B,D,E,C,A,D,E,D,D,D,D,D,D,D,D,C,D,D,D,D,D,B,D,D,D,D,D,B,C,D
9,M,medio,centro,0.506,media_baja,Oficios_Tecnicos,TEC_ENF,16,crecimiento_profesional,0.605,0.802,E,D,B,C,C,B,B,D,D,B,C,A,C,B,C,D,B,D,C,D,D,B,E,C,D,A,E,C,B,D,D,E,A,A,C,B,D,C,C,A,D,C,D,C,C,C,C,D,B,E,C,E,C,B,C,B,A,C,A,D,B,C,C,D,D,E,C,B,E,B,E,C,E,B,C,A,A,A,D,C,A,D,A,C,A,C,D,C,A,A,A,B,A,E,E,A,A,C,A,A,D,A,A,A,A,D,B,B,A,B,A,C,A,D,A,A,A,B,C,C,E,A,C,C,E,A,A,A,A,A,A,C,D,D,A,A,D,B,A,A,C,A,D,B,B,A,D,A,A,C,B,E,B,A,D,C,A,A,A,C
10,F,medio,centro,0.936,media,Ingenieria,CIV,9,crecimiento_profesional,0.506,0.802,A,A,B,C,C,B,B,B,B,D,C,A,D,D,B,B,B,D,B,B,A,B,D,C,B,A,B,C,B,B,A,D,B,B,D,B,B,C,B,A,D,B,B,B,C,C,C,B,B,B,C,B,D,B,B,B,B,C,B,B,B,B,C,B,B,B,C,B,D,B,B,C,D,B,C,A,D,B,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D,B,C,D,D,D,D,D,C,D,D,B,D,D,D,D,D,D,D,C,D,D,D,D,D,D,A,D,A,D,B,D,D,D,D,B,D,D,D,D,D,D,C,D,D,D,E,D,D,D,B,D,D,D,B,D,B,D,C,D,D,D,B,D,C,D,C,D
